Obesity Prevalence,,,Year 2013,Year 2013,Year 2012,Year 2012,Year 2004,Year 2004
State,FIPS Codes,County,number,percent,number,percent,number,percent
California,06045,Mendocino County,14872,22.4,15396,23.2,13850,21.4
California,06047,Merced County,51507,29.5,50368,29.3,32630,21.6
California,06049,Modoc County,1632,23.2,1759,24.6,1585,22
California,06051,Mono County,2487,22.8,2460,22.2,1945,20.2
California,06053,Monterey County,67373,22.3,71126,23.7,59870,21
California,06055,Napa County,25093,23.7,25231,24.3,20740,21.2
California,06057,Nevada County,16591,21.1,15610,20,14970,19.9
California,06059,Orange County,454594,19.7,449055,19.8,390000,18.5
California,06061,Placer County,59334,21.7,60740,22.7,40100,17.7
California,06063,Plumas County,3480,23,3705,24,3218,19.4
California,06065,Riverside County,418753,26,402422,25.5,292000,22.8
California,06067,Sacramento County,292196,27.4,279803,26.6,207100,21.8
California,06069,San Benito County,9357,23.3,9376,23.9,8742,23.5
California,06071,San Bernardino County,404873,27.9,409338,28.7,308500,24.4
California,06073,San Diego County,459215,19.1,476528,20.2,389000,18.6
California,06075,San Francisco County,115017,16.1,104167,14.8,97210,15.6
California,06077,San Joaquin County,137657,28.3,141173,29.4,105600,24.2
California,06079,San Luis Obispo County,52136,24.5,45974,21.8,39120,20.3
California,06081,San Mateo County,120590,21.1,112791,20.1,96490,18.5
California,06083,Santa Barbara County,57998,18.2,59515,19,55040,19.2
California,06085,Santa Clara County,271468,19.5,264012,19.5,241100,19.7
California,06087,Santa Cruz County,40748,20.2,40856,20.6,33090,18
California,06089,Shasta County,36017,26.5,36757,27.2,28430,21.8
California,06091,Sierra County,559,22.5,598,23.8,547.3,20.2
California,06093,Siskiyou County,7851,23.2,7845,22.9,7834,23
California,06095,Solano County,94985,30.1,91691,29.5,68930,24
California,06097,Sonoma County,79223,20.9,80682,21.6,72620,21.1
California,06099,Stanislaus County,119492,32.6,116722,32.4,87610,26.2
California,06101,Sutter County,19382,28.7,18675,28,14160,23.3
California,06103,Tehama County,12635,27.2,13285,28.8,8491,19.7
California,06105,Trinity County,2723,25.1,2892,26.5,2222,21
California,06107,Tulare County,96522,32.6,86177,29.5,55260,21.5
California,06109,Tuolumne County,8832,20.2,9013,20.6,9021,20.1
California,06111,Ventura County,123935,20.3,123993,20.6,111000,20
California,06113,Yolo County,34156,22.7,29899,20.2,26900,20.8
California,06115,Yuba County,12600,24.8,12992,25.9,9766,22.8
Colorado,08001,Adams County,86390,26.3,82385,25.8,56860,21.4
Colorado,08003,Alamosa County,2620,23,2567,22.8,1666,16.2
Colorado,08005,Arapahoe County,94948,21.4,91044,21,68320,18.4
Colorado,08007,Archuleta County,1597,16.5,1547,16.2,1358,15.5
Colorado,08009,Baca County,550,19.4,592,20.6,499.6,16
Colorado,08011,Bent County,1242,26.5,1142,24.4,708.7,16.9
Colorado,08013,Boulder County,31116,13.4,30354,13.3,25390,12.3
Colorado,08014,Broomfield County,7763,17.6,7707,18.2,5454,18.5
Colorado,08015,Chaffee County,3082,20.5,2847,19.1,2142,15.9
Colorado,08017,Cheyenne County,329,23.7,333,24.5,222.5,15.6
Colorado,08019,Clear Creek County,1370,18.1,1261,16.9,1112,15.8
Colorado,08021,Conejos County,1419,24.5,1242,21.5,891.8,15.8
Colorado,08023,Costilla County,610,21.9,596,21.4,421.5,15.9
Colorado,08025,Crowley County,976,21.6,1029,22.6,809,18.4
Colorado,08027,Custer County,727,20.5,729,20.7,467.8,15.7
Colorado,08029,Delta County,4735,20.4,4993,21.5,3393,15.2
Colorado,08031,Denver County,82171,16.4,82972,17,57280,13.9
Colorado,08033,Dolores County,305,19.8,320,21.1,213.2,15.4
Colorado,08035,Douglas County,35803,17,34424,16.9,20930,12.9
Colorado,08037,Eagle County,4601,11.8,4102,10.7,4354,12.7
Colorado,08039,Elbert County,3457,19.6,3263,18.9,2487,15.7
Colorado,08041,El Paso County,104881,22.3,98478,21.4,65170,16.8
Colorado,08043,Fremont County,8657,22.8,8711,23,6401,17.3
Colorado,08045,Garfield County,8130,20,7137,17.7,4595,13.5
Colorado,08047,Gilpin County,893,19.7,840,18.8,630.6,16.6
Colorado,08049,Grand County,1987,17.4,1946,17.4,1577,15.5
Colorado,08051,Gunnison County,1765,14.8,1900,16,1588,14.6
Colorado,08053,Hinsdale County,133,20.5,134,21,110.4,17.5
Colorado,08055,Huerfano County,1081,20.1,1118,20.8,1024,16.9
Colorado,08057,Jackson County,234,21.4,228,20.9,154.1,14
Colorado,08059,Jefferson County,77277,18.3,76984,18.6,54890,14.3
Colorado,08061,Kiowa County,212,19.5,229,21,173.5,16.4
Colorado,08063,Kit Carson County,1672,27.6,1621,26.5,1004,17.9
Colorado,08065,Lake County,940,17.5,1011,18.9,858.3,15.9
Colorado,08067,La Plata County,6699,16.3,6747,16.8,4706,13.4
Colorado,08069,Larimer County,44701,18.7,44231,18.9,25690,13.1
Colorado,08071,Las Animas County,2357,21,2467,21.4,1986,17.5
Colorado,08073,Lincoln County,1013,23.8,1092,25.8,735.8,17.2
Colorado,08075,Logan County,4380,25.4,4247,24.5,2689,17.9
Colorado,08077,Mesa County,25692,23.5,25120,23,16640,17.8
Colorado,08079,Mineral County,112,18.1,115,19,120.7,16.1
Colorado,08081,Moffat County,2441,25.8,2477,26.2,1578,16.8
Colorado,08083,Montezuma County,4198,21.7,4180,22,3110,17.6
Colorado,08085,Montrose County,6015,19.7,6073,20.1,4473,16.8
Colorado,08087,Morgan County,5393,26.9,5535,27.8,3559,18.8
Colorado,08089,Otero County,3615,26.9,3687,27.1,2617,19.1
Colorado,08091,Ouray County,691,18.6,633,17.2,533.8,16.7
Colorado,08093,Park County,2685,20.5,2585,19.9,1905,15
Colorado,08095,Phillips County,725,22.8,731,22.9,567.5,17.5
Colorado,08097,Pitkin County,2115,14.9,1915,13.7,1745,14.4
Colorado,08099,Prowers County,2233,26.1,2317,26.8,1802,19.2
Colorado,08101,Pueblo County,30771,25.9,31034,26.3,21970,20.4
Colorado,08103,Rio Blanco County,1097,22.6,1111,22.7,727.2,16.9
Colorado,08105,Rio Grande County,2001,23.2,2006,23,1548,17.7
Colorado,08107,Routt County,2621,14.3,2546,14.1,2308,14.3
Colorado,08109,Saguache County,925,19.7,978,20.9,785.7,15.9
Colorado,08111,San Juan County,113,19.3,115,20,77.67,16.4
Colorado,08113,San Miguel County,1015,16.7,987,16.4,884.8,15.3
Colorado,08115,Sedgwick County,404,22.1,428,22.9,312,16.1
Colorado,08117,Summit County,3095,13.1,2879,12.5,2573,12.9
Colorado,08119,Teller County,3720,20.3,3256,17.9,2630,16.4
Colorado,08121,Washington County,841,23.2,859,24,565.3,16.5
Colorado,08123,Weld County,49141,26,46788,25.5,28350,18.7
Colorado,08125,Yuma County,1794,24.8,1996,27.7,1110,16.2
Connecticut,09001,Fairfield County,147726,21.4,141931,20.8,110600,17
Connecticut,09003,Hartford County,181479,26.8,178349,26.5,127600,19.8
Connecticut,09005,Litchfield County,34632,23.9,33149,22.9,24970,17.6
Connecticut,09007,Middlesex County,30898,24.1,30130,23.6,24460,20.1
Connecticut,09009,New Haven County,172644,26.5,170756,26.3,136500,22
Connecticut,09011,New London County,57863,27.6,55763,26.7,40560,20.7
Connecticut,09013,Tolland County,28192,24.8,27186,24,20750,19.2
Connecticut,09015,Windham County,26324,29.6,25570,28.9,17620,20.9
Delaware,10001,Kent County,40600,32.8,40452,33.2,27660,27.7
Delaware,10003,New Castle County,113560,27.7,108420,26.8,83410,22
Delaware,10005,Sussex County,50125,31,49471,31.2,33460,25.2
District of Columbia,11001,District of Columbia,115146,22.4,111351,22.1,86750,20
Florida,12001,Alachua County,49715,25.6,49011,25.3,34070,20.7
Florida,12003,Baker County,7049,35.8,7265,37.1,4574,26.9
Florida,12005,Bay County,39932,29.9,39687,30.2,25300,21.7
Florida,12007,Bradford County,7532,35.9,7844,37.2,5450,25.8
Florida,12009,Brevard County,111185,25.6,113988,26.5,88140,22.3
Florida,12011,Broward County,341444,24.4,324816,23.6,249500,19.5
Florida,12013,Calhoun County,4438,39.4,4618,40.7,2522,25.7
Florida,12015,Charlotte County,36050,25.7,36091,26.2,30740,23.7
Florida,12017,Citrus County,30478,26.3,31356,27.1,23220,21.9
Florida,12019,Clay County,42495,29.7,40034,28.5,26770,22.8
Florida,12021,Collier County,52629,19.5,49393,18.8,44400,19.4
Florida,12023,Columbia County,18658,36.3,19281,37.4,11390,25.3
Florida,12027,DeSoto County,9518,36,9332,35.5,6633,25.5
Florida,12029,Dixie County,3864,30.6,4135,32.6,2871,26.2
Florida,12031,Duval County,202629,30.6,193538,29.5,137600,23.8
Florida,12033,Escambia County,66616,28.9,69435,30.5,57090,26.7
Florida,12035,Flagler County,19243,24.2,19144,24.6,11460,20.7
Florida,12037,Franklin County,3074,32.2,2967,31.1,1772,22.8
Florida,12039,Gadsden County,12693,36.5,13323,38.1,8955,27.2
Florida,12041,Gilchrist County,4034,31.5,4011,31.5,2861,24.5
Florida,12043,Glades County,3538,33.1,3631,34.2,2056,23.7
Florida,12045,Gulf County,4058,30.9,4218,32.5,2555,24
Florida,12047,Hamilton County,3748,33.2,3772,32.6,2898,27.3
Florida,12049,Hardee County,6516,33.9,6631,34.4,5018,25.8
Florida,12051,Hendry County,9202,35.2,9080,34.9,6191,24.6
Florida,12053,Hernando County,44193,32.1,43348,31.7,22400,18.9
Florida,12055,Highlands County,24392,31,25603,32.6,15770,21.5
Florida,12057,Hillsborough County,271285,28.3,262456,27.7,178800,22.7
Florida,12059,Holmes County,4816,31.6,4880,32,3730,26
Florida,12061,Indian River County,27788,24.5,27160,24.2,18990,19.3
Florida,12063,Jackson County,13439,34.7,13699,35.6,8954,24.8
Florida,12065,Jefferson County,3687,32.2,3833,33.6,2829,25.4
Florida,12067,Lafayette County,2403,35.3,2500,36.8,1358,23.6
Florida,12069,Lake County,70387,29.3,70856,30,45850,22.4
Florida,12071,Lee County,128751,24.6,129638,25.5,85730,21.5
Florida,12073,Leon County,55754,26.4,59753,28.1,37780,21.3
Florida,12075,Levy County,9983,32.2,9963,32.1,6886,24.7
Florida,12077,Liberty County,2585,39.6,2512,39.1,1443,25.4
Florida,12079,Madison County,4962,34.1,4993,34,3489,25.1
Florida,12081,Manatee County,67904,25.3,62822,24.1,47080,20.8
Florida,12083,Marion County,77624,29.2,76859,29,56350,25.1
Florida,12085,Martin County,26162,21.3,23266,19.4,22680,20.8
Florida,12086,Miami-Dade County,424888,21,386151,19.5,316100,18.6
Florida,12087,Monroe County,14016,22,13353,21.4,14650,23.2
Florida,12089,Nassau County,16719,28.6,16139,28.1,11020,23.6
Florida,12091,Okaloosa County,38596,26.4,36235,25.3,30660,23.3
Florida,12093,Okeechobee County,9037,31,9020,30.9,7400,26.2
Florida,12095,Orange County,226785,24.9,209489,23.6,150500,21.4
Florida,12097,Osceola County,62681,29.1,60174,29.2,35580,22.8
Florida,12099,Palm Beach County,231429,21.5,240584,22.9,193300,20.5
Florida,12101,Pasco County,114404,31.1,110191,30.3,73400,23.3
Florida,12103,Pinellas County,191705,25.5,182250,24.5,163600,22.6
Florida,12105,Polk County,150413,32.3,142994,31.2,93540,24.5
Florida,12107,Putnam County,19919,36.1,19527,35.2,13290,25.1
Florida,12109,St. Johns County,34628,21.9,34770,22.9,23190,20
Florida,12111,St. Lucie County,61225,27.9,62317,28.8,39480,23
Florida,12113,Santa Rosa County,31503,26.1,30729,25.9,22900,22.8
Florida,12115,Sarasota County,66899,20.6,67637,21.1,55950,19.3
Florida,12117,Seminole County,81685,24.6,79814,24.5,59420,20.9
Florida,12119,Sumter County,26736,26.9,26275,28.4,12530,25.2
Florida,12121,Suwannee County,11143,33.3,11031,33.1,7227,25.8
Florida,12123,Taylor County,7065,38.9,6949,38.7,4064,28.5
Florida,12125,Union County,4383,37.1,4675,39.1,2877,25.2
Florida,12127,Volusia County,103484,26,108160,27.5,86510,23.5
Florida,12129,Wakulla County,8696,36.4,8531,36.3,5345,26.5
Florida,12131,Walton County,12734,27.5,12210,27.2,8532,23
Florida,12133,Washington County,7355,38.5,7450,38.8,4495,27.2
Georgia,13001,Appling County,4631,34.8,4701,35.2,3673,28.7
Georgia,13003,Atkinson County,2025,35.3,2036,35.7,1427,26.8
Georgia,13005,Bacon County,2633,32.7,2514,31.4,1969,26.3
Georgia,13007,Baker County,759,30,813,32.3,971.6,31.7
Georgia,13009,Baldwin County,12625,36.8,11664,33.9,9235,27.4
Georgia,13011,Banks County,3670,27,3616,26.8,2829,24.7
Georgia,13013,Barrow County,17405,34.6,17358,35.3,10180,25.5
Georgia,13015,Bartow County,25716,35.2,24701,34.3,14970,24.5
